when,result
1737903086,6
1737903139,24
1737903183,16
1737903228,24
1737903275,3
1737903319,4
1737903369,22
1737903413,1
1737903455,18
1737903500,15
1737903539,16
1737903585,2
1737903631,27
1737903675,18
1737903717,29
1737903763,1
1737903806,27
1737903850,30
1737903896,16
1737903949,28
1737903989,13
1737904038,20
1737904085,6
1737904131,3
1737904173,31
1737904223,22
1737904263,3
1737904306,10
1737904357,9
1737904400,21
1737904443,8
1737904489,33
1737904529,28
1737904572,22
1737904617,21
1737904661,31
1737904711,16
1737904761,17
1737904806,17
1737904851,8
1737904895,10
1737904938,7
1737904979,29
1737905026,12
1737905067,33
1737905114,14
1737905162,12
1737905207,17
1737905252,21
1737905296,8
1737905344,27
1737905390,15
1737905432,19
1737905476,25
1737905523,2
1737905567,37
1737905611,35
1737905655,30
1737905702,33
1737905746,23
1737905790,21
1737905834,12
1737905875,14
1737905921,3
1737905965,23
1737906010,25
1737906052,5
1737906095,25
1737906135,15
1737906177,17
1737906221,32
1737906269,33
1737906319,29
1737906361,27
1737906406,14
1737906453,6
1737906499,14
1737906544,36
1737906592,5
1737906632,1
1737906672,12
1737906719,17
1737906764,31
1737906811,21
1737906858,22
1737906907,28
1737906949,35
1737906996,21
1737907037,29
1737907085,17
1737907133,28
1737907181,16
1737907225,8
1737907269,19
1737907315,1
1737907356,32
1737907400,27
1737907443,27
1737907486,24
1737907530,19
